date,population,admission,release
2020-03-01,105206.92054336192,2212.1752488448624,1843.083475666576
2020-03-02,105387.76872679661,2022.2649924346067,3484.048825631926
2020-03-03,104783.17824079268,2881.4042855738994,3236.6775519191888
2020-03-04,104456.82156787004,2900.9478020735137,2722.3043858162273
2020-03-05,104429.73031764175,2694.760754635524,3398.4828171887757
2020-03-06,104243.02954360387,3213.1954885290816,3147.777144919868
2020-03-07,104497.67272381442,3404.5619917970553,1495.317380610104
2020-03-08,105051.2757805681,2049.2954373638345,1716.2105257713945
2020-03-09,105147.30323248316,1822.5464454283504,3523.655775122525
2020-03-10,104462.50769589243,2941.4441465777754,3083.841081769901
2020-03-11,104362.1902478798,2982.1710696546984,3458.452392872591
2020-03-12,103888.80629740408,2987.749476879658,3081.156504278427
2020-03-13,103544.1901531962,2739.1403600705407,3097.0898376117607
2020-03-14,103106.99993491426,2659.3996193298,1602.535991457914
2020-03-15,103403.76356278613,1898.5887661591005,1679.9119917967341
2020-03-16,103387.65209875765,1663.8005277682405,3960.6221367242697
2020-03-17,101367.11309849724,1942.4979915363565,3608.402209188038
2020-03-18,99496.00888084559,1737.2979915363562,3315.794748021754
2020-03-19,97648.46705178569,1470.1996976733567,3175.1939076856197
2020-03-20,95819.0918893925,1345.8187452924042,2811.678756170468
2020-03-21,94238.0500603326,1230.6369271105862,1072.0176450593567
2020-03-22,94083.82540298991,916.8929877166466,1050.4614953267364
2020-03-23,93796.96972960439,763.1058219412456,2736.0681444216248
2020-03-24,92098.8072380371,1040.8387764867,2653.822101387343
2020-03-25,90463.49057980311,1018.5054431533669,2222.0537863690274
2020-03-26,89187.07410471933,946.1373112852349,2061.490294305535
2020-03-27,88187.86397884188,1063.2087398566634,2043.2521990674397
2020-03-28,87116.8205196311,973.1254065233303,720.331491996733
2020-03-29,87261.6255452688,868.8254065233303,785.0628051280461
2020-03-30,87223.8972375732,747.6678307657546,1830.6183606836014
2020-03-31,86294.56892987758,903.5678307657545,1827.565220586983
2020-04-01,85416.09539271334,951.2849201377353,1930.4945684130703
2020-04-02,84445.84407777134,961.2432534710686,1747.9350446035464
2020-04-03,83814.12649298807,998.730356645672,1712.6726889036909
2020-04-04,82951.68163547754,851.2126798779951,742.7686484996503
2020-04-05,82917.4590001892,708.5460132113284,706.7353151663172
2020-04-06,82911.30303156757,700.5793465446617,1599.0061484996504
2020-04-07,82219.06372961255,909.2043465446618,1517.9108202168218
2020-04-08,81660.3572559404,952.5718497621649,1537.7343136438499
2020-04-09,81056.76850304642,927.6484546133757,1691.2956439726
2020-04-10,80344.98330520686,1159.0104461330316,1112.50346393042
2020-04-11,80315.936807556,1084.290299612885,592.5430262199819
2020-04-12,80597.97162303644,874.577841700427,617.5172686442244
2020-04-13,80706.97613548658,726.8795046716019,1553.6448554882745
2020-04-14,80018.24657550508,861.1312045976922,1415.110764579184
2020-04-15,79569.30943976603,966.6986288401165,1381.6491703762856
2020-04-16,79140.16034750521,950.8334114488123,1474.1346404617555
2020-04-17,78681.5985415692,1016.4061678590685,1371.6763071284222
2020-04-18,78300.7728467443,989.3089456368463,673.3276960173107
2020-04-19,78533.0554852527,906.1103345257352,701.2443626839774
2020-04-20,78629.58812376113,793.6103345257351,1504.6414025810175
2020-04-21,78232.71683691564,1109.7702370106376,1322.647361156094
2020-04-22,78049.1482588809,1138.745449788056,1353.1949080536408
2020-04-23,77825.18249469905,1052.136089396482,1338.5726858314185
2020-04-24,77600.22120382162,1097.84427166633,1353.4086507436994
2020-04-25,77513.31561469859,1265.8363949540014,690.7976464701946
2020-04-26,77842.99795292599,1021.146651364258,867.040070712619
2020-04-27,77885.84241236551,909.8686210612276,1560.087473310022
2020-04-28,77457.86169142985,1134.0734190410255,1409.032073154621
2020-04-29,77275.98307394626,1196.35212858285,1627.150452067435
2020-04-30,76811.427629965,1167.4619671504754,1497.600744465096
2020-05-01,76528.40670979323,1215.4369671504755,1375.773032571255
2020-05-02,76335.28322927859,1182.8110905181472,775.0858530840753
2020-05-03,76676.42556072977,1115.3948512019076,728.274588261941
2020-05-04,76990.15227953269,1042.0013070648854,1626.3023049896578
2020-05-05,76497.70122055788,1256.7981324617108,1394.3811358809885
2020-05-06,76412.9168282497,1309.5967435728219,1288.1668501667027
2020-05-07,76476.53503334412,1350.2850552611337,1412.5407318405846
2020-05-08,76495.08893468675,1400.1547642680014,1462.4345882257455
2020-05-09,76375.21484386931,1347.2399845877894,740.7807420718992
2020-05-10,76805.6740863852,1171.6566512544562,758.8398329809902
2020-05-11,77092.27878344654,1043.6588157566207,2045.668938597596
2020-05-12,76759.61092251033,1710.6549238152284,1475.1627225913799
2020-05-13,76676.2068533379,1391.7586534189581,1506.203595607253
2020-05-14,76695.16389527661,1526.5356375459423,1490.8765754052326
2020-05-15,76726.03002812437,1521.742708253013,1408.3765754052326
2020-05-16,76930.82797915397,1612.6745264348315,865.6947572234145
2020-05-17,77408.26229381995,1341.3726616329664,961.0280905567479
2020-05-18,77583.69660848587,1134.5676683806048,1861.4725350011922
2020-05-19,77224.93647870742,1505.6131988735035,1621.5280905567474
2020-05-20,77276.42634892896,1670.7679607782654,1693.84930267796
2020-05-21,79404.93310226733,1601.1623770219205,1710.9716816878388
2020-05-22,79247.757116123,1617.5456955435002,1617.056297072454
2020-05-23,79402.88167942922,1774.7039373017417,967.0975558137133
2020-05-24,79925.413818493,1491.9296948774995,983.9039660701234
2020-05-25,80240.96732507816,1300.2074726552773,928.02063273679
2020-05-26,80586.99226023474,1274.7122345600392,1971.3122994034566
2020-05-27,80338.83537720949,1685.6666188394233,1630.1069940606515
2020-05-28,80357.40490646484,1673.8688310083025,1862.443257796915
2020-05-29,80238.9044390502,1743.799933239405,1777.586114939772
2020-05-30,80180.09444782602,1719.1094570489286,957.2694482731055
2020-05-31,80674.08445660182,1451.2594570489282,1053.8170673207246
2020-06-01,80946.33637013956,1325.4023141917855,2059.7644357417776
2020-06-02,80430.14091525624,1542.6800919695636,1696.2303448326861
2020-06-03,80313.24344017089,1586.672642474614,1947.3717409365822
2020-06-04,80240.63752352711,1816.9377848673425,1586.2225797529384
2020-06-05,80293.76088102034,1640.7307857310332,1829.9217139520727
2020-06-06,80439.42709565646,1975.7545952548423,923.1932757236344
2020-06-07,80921.74365994292,1405.5098400100876,1074.812323342682
2020-06-08,83303.38165280079,1303.0229014955678,2252.006738508836
2020-06-09,83091.6272067771,1957.8081848364843,2587.0818602498402
2020-06-10,83859.04111527471,2457.9641792047883,2137.341338761151
2020-06-11,83843.38095979561,2122.9375935384332,2244.347749017561
2020-06-12,83813.08747098313,2215.0042602051003,1922.461660863291
2020-06-13,83765.82221908524,1872.8984291674508,906.4929739946044
2020-06-14,84384.35898738942,1525.9297422987638,886.4485295501601
2020-06-15,84994.00686680469,1370.2349371039588,2093.5719061735363
2020-06-16,84781.17422673944,1877.4059327749546,1983.4885728402032
2020-06-17,84869.10269778532,1926.3143290847654,1964.2385728402032
2020-06-18,84784.53116883118,1879.6670438860656,1973.0921356421356
2020-06-19,84833.91616161616,2021.9771284271283,2072.425468975469
2020-06-20,84787.63448773448,2025.6437950937948,950.7891053391054
2020-06-21,85303.42099567098,1466.5756132756133,810.7891053391055
2020-06-22,85898.20750360751,1405.5756132756133,2296.0113275613276
2020-06-23,85554.91067821068,1954.1311688311687,1984.7617243867244
2020-06-24,85577.21702741703,2014.8930735930737,3284.086724386724
2020-06-25,85459.02337662337,3165.004184704185,2139.5063702838984
2020-06-26,85446.47993579454,2128.4629294550646,1891.6336392760509
2020-06-27,85500.83588586099,1947.9608299439917,993.6048798775546
2020-06-28,85991.02516926074,1482.4608299439915,862.5526913253661
2020-06-29,86495.57051326659,1367.0980353311968,2208.836250903043
2020-06-30,86168.39564611102,1884.435893551408,1954.610760706965
2020-07-01,86167.88744562214,1954.1025602180746,2220.1757179719225
2020-07-02,85882.36898872298,1934.9136713291857,2121.8715221677267
2020-07-03,85656.25962273293,1895.762156177671,1109.7048555010595
2020-07-04,86164.98359007621,1618.4288228443372,872.7048555010596
2020-07-05,86903.08255741949,1610.8038228443372,879.2048555010596
2020-07-06,87529.18152476277,1505.3038228443372,2443.800815097019
2020-07-07,87105.40170422725,2020.020994561509,1997.4808150970193
2020-07-08,87120.04188369175,2013.600994561509,2396.925100811305
2020-07-09,88164.14634887052,3440.02956599008,2214.4806563668603
2020-07-10,88072.36192516041,2122.6962326567473,1845.7937876799917
2020-07-11,88153.55729943007,1927.8982528587671,884.1028785890827
2020-07-12,88800.65267369978,1531.1982528587669,822.1028785890828
2020-07-13,89411.74804796946,1432.248252858767,2414.6634846496886
2020-07-14,88936.76766466338,1939.6831013436156,2073.4365615727656
2020-07-15,89032.66420443424,2170.323101343616,2152.815450461654
2020-07-16,89071.7449547314,2190.9550242882324,2118.6339378566126
2020-07-17,89000.75763780168,2047.1466209268879,2092.1339378566126
2020-07-18,88949.77032087195,2041.6466209268879,879.078382301057
2020-07-19,89675.67189283113,1604.479954260221,889.3978267455014
2020-07-20,90227.47624256805,1441.202176482443,2812.6628037040264
2020-07-21,89835.50639875661,2423.850409969387,1486.570253780832
2020-07-22,89893.52064585427,1544.0559294499058,2036.4464442570222
2020-07-23,89952.05870247571,2093.045106939084,2402.761379321957
2020-07-24,89886.3142915647,2338.516968410945,1765.2613793219573
2020-07-25,89974.7921028759,1852.6836350776116,958.9173622279402
2020-07-26,90629.28914495636,1614.1644043083809,938.1883412489192
2020-07-27,90999.24073249134,1416.3916770356536,2556.1143319249095
2020-07-28,90324.94232002633,1880.9409194598961,2060.113514931446
2020-07-29,90330.31711017569,2064.3967691330986,2142.2887971655514
2020-07-30,90254.56690032505,2068.3567691330986,2064.2498361265903
2020-07-31,90308.17383333156,2114.5567691330984,2047.2248361265902
2020-08-01,90328.95576633805,2069.3817691330987,967.5998361265905
2020-08-02,90859.23769934458,1497.8817691330987,968.5998361265905
2020-08-03,91469.01963235109,1578.3817691330987,2334.1998361265905
2020-08-04,91136.86823202428,2002.0484357997657,2222.8248361265905
2020-08-05,91052.09183169744,2137.0734357997653,2087.408169459924
2020-08-06,91241.38209803728,2252.152981254311,2314.1354421871965
2020-08-07,91128.21781892257,2200.471163072493,2113.377866429621
2020-08-08,91286.88687314121,2259.2969206482503,977.0195330962874
2020-08-09,91940.3225940265,1626.5764661027956,924.1861997629542
2020-08-10,92535.7583149118,1522.6219206482501,2398.852866429621
2020-08-11,92195.86070246377,2056.12192064825,2789.4417553185094
2020-08-12,92292.07420112686,2887.4552539815836,2132.5988981756527
2020-08-13,92358.33531883752,2198.8600158863455,2268.0469501237044
2020-08-14,92336.51202096378,2246.223652249982,2170.741202997268
2020-08-15,92459.82683635052,2294.056018383988,1042.7967585528233
2020-08-16,93189.36387395949,1775.0004628284323,1080.2234252194899
2020-08-17,93767.58091156842,1665.4404628284324,2584.1400918861564
2020-08-18,93341.88128251067,2158.2916533046227,2353.213853599677
2020-08-19,93345.50748057096,2358.617829437727,2212.134488520312
2020-08-20,93430.0622500598,2295.5225913424892,2314.7178218536455
2020-08-21,93595.78368621532,2379.6007964706937,2213.201155186978
2020-08-22,93762.70512237081,2381.455924675822,1085.5344885203122
2020-08-23,94534.62655852633,1857.455924675822,1146.0344885203122
2020-08-24,95054.2146613485,1652.0003691202664,2625.546357207181
2020-08-25,94690.67725912016,2263.6089549788526,2448.74635720718
2020-08-26,95084.53985689185,2842.6089549788517,2205.657785778609
2020-08-27,95260.33959752067,2381.4575264074238,2290.8688968897204
2020-08-28,95422.09489370504,2452.6241930740903,2398.802230223054
2020-08-29,95448.31685655605,2422.6241930740903,1055.002230223054
2020-08-30,96320.0388194071,1929.5241930740901,1088.4688968897208
2020-08-31,96998.26078225813,1766.690859740757,2788.1355635563873
2020-09-01,96489.81607844251,2279.690859740757,2609.473727807595
2020-09-02,96312.2047079602,2439.7464152963125,2465.9768333976567
2020-09-03,96335.49984541441,2489.2719708518684,2554.6396240953313
2020-09-04,96258.94614565934,2480.0742964332635,2556.2779961883543
2020-09-05,96224.94244590425,2523.174296433264,1133.1779961883549
2020-09-06,96958.93874614914,1867.1742964332634,1148.077996188355
2020-09-07,97413.28504639406,1602.4242964332634,1060.8914554563594
2020-09-08,98003.01033129067,1651.6084758901702,2896.1331909935493
2020-09-09,97440.4856161873,2333.60847589017,2589.6331909935498
2020-09-10,97147.46090108392,2296.60847589017,2506.860968771327
2020-09-11,97089.1528526472,2450.0529203346146,2371.8609687713265
2020-09-12,97065.34480421049,2349.386253667948,1069.3609687713274
2020-09-13,97843.70342244043,1845.8529203346147,1056.617379027738
2020-09-14,98461.01075861912,1670.4477921294865,2718.459503569862
2020-09-15,97986.5895233692,2244.938268319963,2506.192836903195
2020-09-16,97831.50162145265,2351.1049349866294,2458.692836903195
2020-09-17,97671.91371953607,2299.1049349866294,2478.192836903195
2020-09-18,97543.32581761954,2349.1049349866294,2426.1030933134516
